200 14837
2 4 17
2 5 3
3 1 1
3 2 12
4 2 15
4 3 -3
5 1 16
5 2 9
5 3 13
5 4 19
6 1 4
6 2 14
6 4 8
6 5 14
7 1 -10
7 2 3
7 6 -2
8 1 2
8 4 -1
8 5 20
8 6 7
8 7 -4
9 1 8
9 2 -5
9 3 -8
9 4 12
9 5 -1
9 6 13
9 7 1
10 1 4
10 3 7
10 5 15
10 8 -10
10 9 -7
11 1 8
11 3 6
11 5 5
11 6 4
11 7 -7
11 8 17
11 9 20
11 10 4
12 2 12
12 3 -7
12 5 -7
12 7 3
12 9 6
12 10 -1
12 11 -2
13 1 11
13 2 13
13 3 6
13 4 9
13 5 6
13 6 11
13 7 6
13 8 12
13 10 -1
13 11 14
13 12 15
14 1 -1
14 2 -9
14 4 3
14 5 12
14 8 -7
14 9 16
14 10 18
14 11 8
14 12 12
14 13 4
15 1 -1
15 2 3
15 3 9
15 4 11
15 5 3
15 6 5
15 7 3
15 8 9
15 9 16
15 10 17
15 12 13
15 13 7
15 14 7
16 1 4
16 2 11
16 4 15
16 5 -3
16 6 19
16 8 -1
16 9 20
16 10 3
16 11 -3
16 12 10
16 13 -5
16 15 14
17 2 10
17 3 -3
17 6 9
17 7 -4
17 8 2
17 9 -7
17 10 9
17 12 17
17 13 15
17 14 -6
17 15 11
17 16 7
18 1 -5
18 3 19
18 4 4
18 7 -1
18 8 5
18 9 19
18 10 4
18 12 5
18 13 13
18 14 -1
18 15 -3
18 17 4
19 2 4
19 3 5
19 4 6
19 6 -6
19 7 13
19 8 7
19 10 3
19 11 11
19 13 6
19 14 -4
19 15 14
19 17 3
19 18 8
20 1 20
20 2 -3
20 3 -3
20 4 19
20 5 8
20 6 12
20 7 15
20 8 2
20 9 -5
20 10 2
20 13 6
20 14 -9
20 15 12
20 16 4
20 18 -3
20 19 -6
21 5 2
21 6 10
21 8 15
21 9 11
21 10 7
21 11 11
21 12 18
21 14 -4
21 15 -8
21 16 11
21 17 20
21 18 -8
21 19 9
21 20 15
22 1 5
22 2 12
22 3 12
22 4 7
22 5 -3
22 6 15
22 7 8
22 8 14
22 9 9
22 10 2
22 11 6
22 12 1
22 14 9
22 15 13
22 16 13
22 17 -2
22 18 -3
22 21 2
23 2 9
23 3 5
23 5 5
23 6 10
23 7 5
23 9 11
23 10 5
23 13 8
23 15 -4
23 16 6
23 17 7
23 18 -4
23 19 17
23 21 3
23 22 19
24 1 -1
24 2 17
24 3 2
24 6 -2
24 7 -3
24 8 16
24 9 18
24 10 2
24 11 -7
24 12 -3
24 13 13
24 14 19
24 16 6
24 19 10
24 20 -5
24 23 -1
25 2 18
25 3 14
25 4 -8
25 5 12
25 6 16
25 9 4
25 10 -2
25 11 1
25 13 11
25 16 8
25 17 -5
25 18 3
25 20 7
25 21 3
25 22 2
25 23 8
26 1 15
26 2 -8
26 3 -6
26 4 11
26 5 4
26 6 17
26 7 14
26 9 10
26 10 -10
26 12 1
26 13 12
26 15 -10
26 16 -1
26 17 20
26 19 4
26 20 19
26 21 10
26 22 5
26 23 -7
26 24 12
26 25 -5
27 1 4
27 2 18
27 3 9
27 4 -5
27 6 3
27 7 12
27 8 6
27 9 14
27 10 10
27 11 10
27 13 -6
27 14 -1
27 15 -6
27 16 5
27 17 15
27 19 14
27 20 -1
27 21 -9
27 22 20
27 23 11
27 24 4
27 25 -3
28 1 13
28 3 -8
28 5 -10
28 6 4
28 7 10
28 8 -2
28 9 1
28 10 20
28 11 3
28 12 12
28 13 -6
28 16 19
28 18 15
28 20 4
28 21 3
28 23 12
28 24 17
28 26 1
28 27 19
29 1 -8
29 2 15
29 5 18
29 6 -10
29 7 -7
29 8 14
29 9 3
29 10 13
29 11 8
29 12 12
29 13 -10
29 15 12
29 16 -2
29 18 10
29 19 6
29 21 4
29 22 11
29 23 10
29 24 -7
29 25 10
29 26 9
29 27 13
29 28 14
30 1 16
30 2 -9
30 6 -8
30 9 3
30 10 16
30 12 8
30 13 -6
30 14 -10
30 15 2
30 20 5
30 22 6
30 24 -10
30 27 9
30 28 15
30 29 -10
31 1 -3
31 3 13
31 4 11
31 5 18
31 6 -5
31 9 6
31 10 7
31 11 -10
31 12 -10
31 13 13
31 14 -4
31 15 7
31 16 7
31 18 13
31 19 11
31 20 -4
31 21 -2
31 23 7
31 24 -10
31 25 3
31 26 -4
31 27 8
31 28 4
31 30 -10
32 1 10
32 2 5
32 3 -3
32 4 -8
32 5 1
32 6 15
32 8 7
32 9 19
32 10 6
32 11 -5
32 12 10
32 13 18
32 14 6
32 17 -10
32 18 2
32 19 9
32 20 11
32 21 12
32 22 11
32 24 7
32 25 2
32 26 1
32 27 15
32 28 10
32 29 11
32 31 -5
33 2 3
33 3 3
33 4 5
33 5 9
33 6 8
33 7 10
33 8 13
33 9 14
33 10 2
33 11 5
33 12 -1
33 13 3
33 14 17
33 15 -5
33 16 15
33 17 15
33 18 20
33 19 10
33 20 19
33 22 -10
33 23 -4
33 24 16
33 27 -7
33 28 3
33 29 -10
33 30 20
33 31 12
33 32 -1
34 1 2
34 2 16
34 3 5
34 4 18
34 7 16
34 8 16
34 10 18
34 13 -8
34 15 16
34 18 -6
34 20 13
34 22 1
34 23 15
34 24 -7
34 27 12
34 28 9
34 32 -6
34 33 9
35 1 18
35 2 11
35 3 15
35 6 3
35 7 19
35 8 8
35 9 10
35 10 -9
35 12 10
35 14 -1
35 15 -8
35 17 19
35 18 -1
35 19 17
35 20 11
35 22 6
35 23 18
35 24 11
35 27 9
35 28 -3
35 29 -1
35 30 -1
35 31 13
35 32 1
35 33 5
35 34 10
36 1 10
36 3 6
36 4 13
36 7 14
36 8 -9
36 10 2
36 13 2
36 14 -3
36 15 -5
36 16 -10
36 17 17
36 18 19
36 19 8
36 20 -5
36 22 17
36 23 17
36 24 18
36 25 -9
36 26 -5
36 27 1
36 28 -9
36 29 -2
36 30 11
36 31 8
36 32 12
36 33 -6
36 34 -2
37 1 1
37 3 -1
37 5 17
37 8 20
37 9 17
37 10 15
37 12 -1
37 13 15
37 14 13
37 15 15
37 17 17
37 18 -8
37 19 13
37 21 -9
37 22 11
37 23 18
37 24 3
37 26 -3
37 27 17
37 29 8
37 30 14
37 32 17
37 34 3
37 35 17
37 36 14
38 3 9
38 4 14
